Date,Open,High,Low,Close,Volume,Adj Close
2016-04-11,79.779999,80.449997,78.470001,78.480003,1423100,77.824919
2016-04-08,78.709999,79.449997,78.160004,79.080002,910900,78.419909
2016-04-07,79.449997,79.660004,77.690002,78.279999,1481100,77.626584
2016-04-06,79.959999,80.099998,78.290001,79.639999,1659300,78.975232
2016-04-05,78.389999,81.470001,78.25,79.68,2760900,79.014899
2016-04-04,78.220001,78.980003,77.010002,78.919998,6457100,78.261241
2016-04-01,81.260002,82.080002,80.43,82.010002,1021400,81.325452
2016-03-31,82.389999,83.089996,81.809998,82.019997,1102400,81.335363
2016-03-30,82.589996,83.00,82.00,82.330002,985800,81.642781
2016-03-29,81.540001,82.730003,81.18,82.349998,1196400,81.66261
2016-03-28,80.519997,82.900002,80.040001,81.489998,1267900,80.809788
2016-03-24,80.470001,80.589996,79.419998,80.589996,1159700,79.917299
2016-03-23,81.800003,82.040001,80.559998,81.120003,1279200,80.442882
2016-03-22,81.199997,82.480003,81.029999,82.029999,694000,81.345282
2016-03-21,82.279999,82.589996,81.910004,82.260002,1098300,81.573365
2016-03-18,80.699997,83.00,80.550003,82.029999,1966300,81.345282
2016-03-17,80.419998,81.449997,80.089996,80.980003,1109300,80.304051
2016-03-16,79.50,80.709999,79.419998,80.529999,846400,79.857803
2016-03-15,79.400002,80.080002,79.089996,79.989998,793900,79.322309
2016-03-14,80.239998,80.699997,79.199997,79.790001,1232600,79.123982
2016-03-11,77.830002,80.779999,77.620003,80.769997,1735300,80.095797
2016-03-10,77.389999,77.809998,75.150002,76.389999,1172800,75.75236
2016-03-09,76.970001,78.019997,76.059998,77.32,822200,76.674598
2016-03-08,76.040001,77.360001,75.080002,76.400002,1543100,75.762279
2016-03-07,77.050003,77.769997,76.18,77.199997,1124200,76.555597
2016-03-04,78.449997,78.449997,76.800003,77.669998,1106700,77.021675
2016-03-03,77.07,78.489998,76.730003,78.25,1098500,77.596835
2016-03-02,76.650002,77.639999,76.00,77.260002,1069900,76.615101
2016-03-01,74.199997,77.099998,73.959999,77.07,1364700,76.426685
2016-02-29,74.089996,74.57,73.849998,73.900002,1033700,73.283147
2016-02-26,75.00,75.510002,73.620003,74.57,968400,73.947552
2016-02-25,73.68,75.00,73.209999,74.910004,998500,74.284718
2016-02-24,72.32,73.699997,71.059998,73.599998,1026900,72.985648
2016-02-23,72.099998,73.029999,71.589996,72.739998,905600,72.132826
2016-02-22,73.099998,73.699997,71.800003,72.389999,1193400,71.785749
2016-02-19,71.470001,72.480003,71.32,72.339996,1195300,71.736163
2016-02-18,72.00,72.379997,70.93,72.32,1547000,71.443627
2016-02-17,69.900002,71.949997,69.720001,71.769997,1136000,70.900289
2016-02-16,68.900002,69.830002,68.190002,69.599998,933600,68.756587
2016-02-12,67.839996,68.75,66.160004,68.440002,1193600,67.610648
2016-02-11,65.860001,67.389999,65.43,66.940002,1246300,66.128825
2016-02-10,66.839996,67.93,66.209999,66.839996,1387000,66.03003
